Lat,Lon
-5.7528,36.2519
-5.7528,36.3025
-5.7528,36.3532
-5.7528,36.4038
-5.7528,36.4545
-5.7528,36.5051
-5.7528,36.5557
-5.7528,36.6064
-5.7528,36.657
-5.8033,35.7455
-5.8033,35.7961
-5.8033,35.8468
-5.8033,35.8974
-5.8033,35.948
-5.8033,35.9987
-5.8033,36.0493
-5.8033,36.1
-5.8033,36.1506
-5.8033,36.2012
-5.8033,36.2519
-5.8033,36.3025
-5.8033,36.3532
-5.8033,36.4038
-5.8033,36.4545
-5.8033,36.5051
-5.8033,36.5557
-5.8033,36.6064
-5.8033,36.657
-5.8033,36.7077
-5.8538,35.6948
-5.8538,35.7455
-5.8538,35.7961
-5.8538,35.8468
-5.8538,35.8974
-5.8538,35.948
-5.8538,35.9987
-5.8538,36.0493
-5.8538,36.1
-5.8538,36.1506
-5.8538,36.2012
-5.8538,36.2519
-5.8538,36.3025
-5.8538,36.3532
-5.8538,36.4038
-5.8538,36.4545
-5.8538,36.5051
-5.8538,36.5557
-5.8538,36.6064
-5.8538,36.657
-5.8538,36.7077
-5.8538,36.7583
-5.8538,37.0115
-5.8538,37.0621
-5.8538,37.1128
-5.9044,35.6948
-5.9044,35.7455
-5.9044,35.7961
-5.9044,35.8468
-5.9044,35.8974
-5.9044,35.948
-5.9044,35.9987
-5.9044,36.0493
-5.9044,36.1
-5.9044,36.1506
-5.9044,36.2012
-5.9044,36.2519
-5.9044,36.3025
-5.9044,36.3532
-5.9044,36.4038
-5.9044,36.4545
-5.9044,36.5051
-5.9044,36.5557
-5.9044,36.6064
-5.9044,36.657
-5.9044,36.7077
-5.9044,36.7583
-5.9044,36.9102
-5.9044,36.9609
-5.9044,37.0115
-5.9044,37.0621
-5.9044,37.1128
-5.9044,37.1634
-5.9044,37.2141
-5.9044,37.2647
-5.9044,37.3154
-5.9044,37.366
-5.9044,37.4166
-5.9549,35.6948
-5.9549,35.7455
-5.9549,35.7961
-5.9549,35.8468
-5.9549,35.8974
-5.9549,35.948
-5.9549,35.9987
-5.9549,36.0493
-5.9549,36.1
-5.9549,36.1506
-5.9549,36.2012
-5.9549,36.2519
-5.9549,36.3025
-5.9549,36.3532
-5.9549,36.4038
-5.9549,36.4545
-5.9549,36.5051
-5.9549,36.5557
-5.9549,36.6064
-5.9549,36.657
-5.9549,36.7077
-5.9549,36.7583
-5.9549,36.8089
-5.9549,36.8596
-5.9549,36.9102
-5.9549,36.9609
-5.9549,37.0115
-5.9549,37.0621
-5.9549,37.1128
-5.9549,37.1634
-5.9549,37.2141
-5.9549,37.2647
-5.9549,37.3154
-5.9549,37.366
-5.9549,37.4166
-6.0054,35.6442
-6.0054,35.6948
-6.0054,35.7455
-6.0054,35.7961
-6.0054,35.8468
-6.0054,35.8974
-6.0054,35.948
-6.0054,35.9987
-6.0054,36.0493
-6.0054,36.1
-6.0054,36.1506
-6.0054,36.2012
-6.0054,36.2519
-6.0054,36.3025
-6.0054,36.3532
-6.0054,36.4038
-6.0054,36.4545
-6.0054,36.5051
-6.0054,36.5557
-6.0054,36.6064
-6.0054,36.657
-6.0054,36.7077
-6.0054,36.7583
-6.0054,36.8089
-6.0054,36.8596
-6.0054,36.9102
-6.0054,36.9609
-6.0054,37.0115
-6.0054,37.0621
-6.0054,37.1128
-6.0054,37.1634
-6.0054,37.2141
-6.0054,37.2647
-6.0054,37.3154
-6.0054,37.366
-6.0054,37.4166
-6.056,35.6442
-6.056,35.6948
-6.056,35.7455
-6.056,35.7961
-6.056,35.8468
-6.056,35.8974
-6.056,35.948
-6.056,35.9987
-6.056,36.0493
-6.056,36.1
-6.056,36.1506
-6.056,36.2012
-6.056,36.2519
-6.056,36.3025
-6.056,36.3532
-6.056,36.4038
-6.056,36.4545
-6.056,36.5051
-6.056,36.5557
-6.056,36.6064
-6.056,36.657
-6.056,36.7077
-6.056,36.7583
-6.056,36.8089
-6.056,36.8596
-6.056,36.9102
-6.056,36.9609
-6.056,37.0115
-6.056,37.0621
-6.056,37.1128
-6.056,37.1634
-6.056,37.2141
-6.056,37.2647
-6.056,37.3154
-6.056,37.366
-6.056,37.4166
